,Wikipedia_features,wikipedia_featurs_No
0,the,5239.024202319904
1,you,4200.331387214992
2,to,4179.713003159275
3,and,3648.5675534663656
4,of,3565.743217442986
5,is,3510.2375721970066
6,it,3232.1776910485837
7,that,3068.4286056410647
8,in,2853.7646767573874
9,this,2541.1989115234205
10,for,2476.381290685266
11,not,2430.8070449233733
12,on,2258.33603844258
13,be,2182.2296305024042
14,are,2152.9679646715886
15,have,2033.8266738565094
16,as,1982.521750500558
17,your,1966.403330571776
18,with,1784.4645328830784
19,was,1753.919442315531
20,my,1747.8136412968895
21,article,1717.1643122117212
22,if,1630.9970497643142
23,but,1597.2060899573826
24,me,1571.9581618175293
25,page,1559.9493851774967
26,do,1525.3329248743548
27,or,1523.05486992245
28,what,1476.3333288800886
29,wikipedia,1453.6489534672485
30,an,1453.2050713417932
31,of the,1422.891523647065
32,can,1420.9196122818814
33,from,1416.9129092917392
34,so,1404.6185724485895
35,by,1367.3355935578516
36,about,1358.182509100233
37,at,1313.8695193505353
38,there,1303.7756082797775
39,in the,1288.1043109238758
40,just,1268.6117433678667
41,no,1265.4165903791293
42,please,1247.1644300904995
43,all,1226.380860307623
44,will,1222.2344127279775
45,he,1194.4620925160434
46,like,1191.878407541157
47,talk,1154.687833926197
48,has,1126.3344857667398
49,don,1125.946325178317
50,one,1117.6880168579726
51,they,1104.3708918542955
52,would,1087.5129740728748
53,should,1052.142036853469
54,we,1001.4606609125279
55,here,979.918989719561
56,who,978.4867636827582
57,think,968.2156844215779
58,to the,966.7711627601617
59,why,959.6145942233967
60,been,959.1401153912939
61,see,956.4175297272791
62,if you,950.8234802721361
63,more,950.0779888834021
64,any,939.2815514582085
65,know,938.0552197684177
66,some,931.7778271091915
67,it is,925.3918805262505
68,thanks,914.919816625215
69,which,910.2208604034628
70,to be,905.4337143910326
71,how,904.4385257288611
72,the article,902.582520785247
73,his,901.91295550504
74,you are,899.1656256623287
75,am,893.6460661330475
76,on the,887.3156035603923
77,also,878.1844600238853
78,other,875.6600107621382
79,up,874.6784347155411
80,people,838.5371974087624
81,now,835.979464096234
82,edit,830.9407359578811
83,because,830.7729587368829
84,out,804.1056694869906
85,get,795.4075453155059
86,re,791.2187450073826
87,did,787.3986668721924
88,only,771.6416730908172
89,when,755.8848034223436
90,time,730.6763125142544
91,then,727.7160985507942
92,is not,715.7839938949078
93,good,706.0034444214947
94,for the,702.4511024039277
95,being,695.6240344971507
96,this is,694.4244453426337
97,were,690.973061540612
98,well,675.8929948419059
99,them,675.623283127871
100,than,655.0282214918392
101,articles,650.7521244651437
102,ve,650.4329297702208
103,make,645.0779178621342
104,even,642.004108969929
105,does,637.8465696418317
106,go,636.5393309717292
107,user,635.440272047341
108,stop,627.66707024599
109,very,619.5615106792895
110,talk page,619.4911713308255
111,want,619.2184848351926
112,their,617.3465893789543
113,you have,616.6327678262523
114,use,612.2377177873417
115,could,604.8961835835914
116,thank,601.3297740557271
117,may,588.3658649635739
118,its,587.6326559350863
119,way,581.6746761723944
120,thank you,581.2820609609444
121,again,580.0930581596726
122,that the,573.6095013704371
123,name,573.2832761377086
124,fuck,572.5937344387992
125,say,569.4485423482478
126,had,568.9309532145339
127,really,567.293761455904
128,edits,563.8832480580372
129,section,560.695038884318
130,new,551.0039451719917
131,wp,547.8002775741394
132,sources,545.707215731479
133,and the,543.1557082947708
134,need,542.2346807476154
135,is the,541.8194845450726
136,information,540.8077296158261
137,you re,540.7473874198233
138,source,540.5997516504808
139,much,537.9241473581881
140,this article,537.4263797867791
141,do not,533.6822156996611
142,blocked,532.6261992328244
143,should be,531.4962147558659
144,made,531.083193773327
145,such,530.5162809376114
146,right,530.3688831387836
147,editing,528.3257780730128
148,first,527.6178028135197
149,ll,525.621477651827
150,these,525.1935082024675
151,redirect,509.8582263555521
152,there is,509.3311053856881
153,where,508.89289877585446
154,someone,507.36864118944567
155,too,503.571710892756
156,that you,500.7985730258169
157,back,500.24428393274115
158,it was,496.6933024738226
159,you can,496.4809049420641
160,with the,493.2073174153387
161,read,488.9353928112115
162,same,487.1490953262969
163,him,483.81927519948664
164,look,482.97581048036943
165,at the,482.80507966086225
166,many,482.04559633947184
167,help,477.39723168070003
168,before,474.9473877335007
169,discussion,474.91165590685534
170,still,471.2395748811966
171,pages,465.9884683946197
172,block,465.652118981228
173,going,465.40497885342313
174,since,465.0208151829653
175,wiki,462.77725349507034
176,into,461.9672711632864
177,find,461.3912210849484
178,to do,460.6549913195839
179,off,458.77635155996956
180,something,457.5604109119203
181,work,456.60295050202274
182,do you,456.4460352810418
183,said,455.53074959324266
184,take,455.3374696742256
185,those,452.9168801329537
186,over,451.0906305431671
187,add,448.99809885919115
188,added,448.3912783356313
189,point,446.93953206324034
190,vandalism,446.1558457168395
191,from the,445.44340941804313
192,redirect talk,442.5759237641847
193,most,442.5641674488884
194,used,440.49821239559986
195,will be,437.4064768718062
196,http,436.3535417298073
197,two,435.7457944417873
198,own,433.1751549105548
199,want to,430.6555900481924
200,after,428.9754440256144
201,the same,428.72553572555444
202,removed,426.48300091820005
203,has been,421.96011875943736
204,never,419.0438274067339
205,sorry,417.91180580783345
206,that is,417.6702902576648
207,list,416.5071964141968
208,fact,415.4553733531859
209,better,415.43686410245977
210,comment,414.124703921332
211,personal,412.968321242131
212,link,408.8998968624884
213,put,407.46862163891797
214,have been,407.02535441930667
215,hi,406.86041770688706
216,would be,404.53405540479736
217,another,402.1809979635643
218,deleted,401.85413890992345
219,are you,401.75752857826353
220,thanks for,401.33762533838484
221,sure,399.398248872919
222,anything,397.7945449831539
223,doesn,397.5953411327284
224,history,393.53873608859755
225,by the,388.3967700931569
226,actually,388.1076163516903
227,wrong,386.87971829176877
228,without,385.99661496095337
229,let,385.47126457022597
230,about the,383.39229574455265
231,seems,381.80701049324307
232,reason,381.7247822952969
233,keep,379.6570736676785
234,utc,379.57339407500086
235,didn,378.9147352399899
236,done,377.5749298041654
237,nothing,376.4886613787776
238,little,374.5002025214102
239,her,372.64515539583476
240,agree,366.8205787389063
241,com,363.4319613855609
242,fucking,360.7985150703376
243,she,359.58795826664596
244,comments,359.43190763648596
245,going to,357.24905617510206
246,yes,354.79317008198166
247,anyone,351.45331392783106
248,the page,350.3853600227484
249,thing,350.1034257211747
250,case,348.846757708672
251,change,347.7712049324667
252,might,346.163707587896
253,deletion,345.8260261899016
254,editors,345.28590746390955
255,already,344.23095666255347
256,they are,344.1273581122168
257,person,343.71074641293797
258,against,341.46318777966275
259,got,341.4543964071404
260,content,340.57391675699944
261,life,340.5565234115019
262,both,339.4333500420614
263,delete,338.64266767733443
264,us,338.4483617868342
265,things,336.9770553835991
266,yourself,336.33343100109045
267,believe,335.16793529234496
268,that it,334.4861930110411
269,of this,332.91480047676544
270,problem,332.55882690809955
271,does not,331.61675000031994
272,need to,331.4372809135181
273,place,330.52043559185194
274,image,329.19015132873886
275,mean,329.12560628154085
276,give,329.05790501351254
277,question,328.7963130556701
278,ip,328.76541200062684
279,hey,328.6788251875477
280,above,328.547752566708
281,part,328.3901095315333
282,there are,327.3889656879792
283,remove,327.177714684852
284,trying,327.11536820413534
285,while,326.2242330568782
286,though,325.86348332838236
287,you will,325.68245350593855
288,feel,324.5020952479146
289,can be,323.34306127414675
290,understand,323.2507634720228
291,are not,321.1893910726684
292,have to,320.5519344086488
293,isn,319.6109017137512
294,last,318.05584740140176
295,long,314.9598613819539
296,under,313.9534055476971
297,world,313.4357220388699
298,our,313.37503720143
299,however,312.03066124780895
300,this page,311.5675612867299
301,come,311.3870482049158
302,note,311.17824553097614
303,trying to,311.09602938441276
304,on this,307.8236969569736
305,hope,304.8722392982568
306,try,304.75044629370905
307,oh,303.66063107491925
308,all the,302.11653126308966
309,using,301.6977550656175
310,ok,301.1906563590534
311,for your,300.3096598018276
312,best,300.0317546112472
313,leave,299.608927050959
314,says,299.5274464581461
315,in this,299.0966470286671
316,english,298.43080729712227
317,doing,298.4165546289393
318,and you,298.2701728813197
319,one of,298.21585298885185
320,links,297.0830294634493
321,to have,296.0499599918064
322,reference,295.8559493953474
323,editor,295.7615926291773
324,like to,295.19251084230615
325,others,295.1843469269249
326,needs,293.8354193821919
327,ever,293.13322584124006
328,making,291.77713897985967
329,dont,291.08986080023476
330,real,290.4777394002616
331,he is,289.97103361377276
332,you know,289.9460789687237
333,is that,289.8024645281227
334,free,289.1775695504438
335,else,288.89470236147366
336,day,288.7596511426998
337,you for,288.4347652721249
338,on my,288.2598015376846
339,post,287.9932371280576
340,word,287.34218444664185
341,must,287.01623055756636
342,maybe,285.1259703835032
343,as the,284.86382995911896
344,policy,284.0219671940101
345,man,283.42686696556075
346,thought,282.83576445911723
347,to me,282.7143779445504
348,ask,282.1292105334667
349,www,282.0873384201199
350,rather,281.9939758179808
351,great,281.7393757708217
352,enough,280.34282982190786
353,issue,279.967398770337
354,what you,279.83594109784826
355,years,279.69871764077726
356,admin,279.00328589575105
357,different,278.75071347747416
358,on wikipedia,278.28227823047706
359,few,278.2745507980783
360,to make,278.1400442931499
361,request,278.0435915668126
362,revert,277.65185755129005
363,continue,277.5173229162068
364,reliable,277.4073244491439
365,shit,277.26015071117877
366,support,277.23359167077416
367,every,277.04093072337173
368,site,276.79536217180464
369,called,276.6256723602305
370,text,276.1177444639976
371,tell,275.11690476352095
372,what is,274.1377034565539
373,hello,273.8499360705811
374,which is,273.73169870249956
375,account,273.19624601491523
376,show,273.0596420642113
377,probably,272.5886290642202
378,down,272.19037205930914
379,and it,271.6888486015172
380,as you,271.02969861601656
381,opinion,269.98246588415276
382,found,269.1706432493565
383,references,268.88964956959126
384,correct,268.8282152078882
385,the first,266.4879554832139
386,yet,266.24006974570324
387,attack,265.8435931253884
388,least,265.26251737419915
389,welcome,265.1383605309398
390,out of,264.83547150619233
391,true,263.7978854844949
392,either,263.5594281167021
393,bad,263.16766113876434
394,around,261.631570415518
395,message,261.10135270353186
396,as well,260.7810896364265
397,article is,260.11017210249594
398,pov,259.4340122373975
399,is an,257.2242351889355
400,reverted,256.11565639379074
401,non,255.93186848102548
402,style,255.89610475130021
403,the other,255.89106475041072
404,you want,254.68230729821343
405,simply,254.6646564301038
406,war,254.56285479173076
407,to get,253.9221949355025
408,old,253.70063392874758
409,org,253.20830370638404
410,users,252.9260825948689
411,is no,252.89806282951363
412,you to,252.59087772153282
413,lot,251.8065588339787
414,look at,251.623457281346
415,saying,251.01109515825235
416,you think,250.50948091615237
417,clearly,250.46898502636319
418,far,249.47778796380234
419,state,249.12940829062367
420,matter,248.71670526257586
421,consensus,247.01207308577824
422,an article,246.6957083312099
423,not the,244.50447659398662
424,you don,243.9812906329279
425,check,243.37750878816692
426,title,243.31758561334334
427,having,243.02606175567973
428,seem,242.90165556311933
429,to wikipedia,242.74670170679187
430,to see,242.5084061793888
431,until,242.42503178491975
432,http www,241.99335815193206
433,original,241.89733125866246
434,perhaps,241.84733848036765
435,warning,241.5353692934382
436,instead,241.08282683624407
