,y_true_bool,y_predict_prob_0,y_predict_prob_1,y_true_binary,y_prediction
0,False,0.2505206494084671,0.7494793505915329,0,1
1,False,0.9998078601416831,0.00019213985831685837,0,0
2,False,0.9983756636890715,0.0016243363109285252,0,0
3,False,0.29611817263591456,0.7038818273640854,0,1
4,False,0.983652450278138,0.016347549721861983,0,0
5,False,0.994442714690836,0.00555728530916396,0,0
6,False,0.9955210184937565,0.004478981506243473,0,0
7,True,0.02262263075523374,0.9773773692447663,1,1
8,False,0.948434569632516,0.05156543036748396,0,0
9,False,0.9801785852128859,0.019821414787114095,0,0
10,False,0.9986586274651721,0.0013413725348279256,0,0
11,False,0.9952251503860531,0.004774849613946875,0,0
12,False,0.9985430933310665,0.001456906668933516,0,0
13,True,0.02340999696825652,0.9765900030317435,1,1
14,False,0.9846360722303313,0.015363927769668623,0,0
15,False,0.9650663189253909,0.03493368107460913,0,0
16,False,0.9984289252990368,0.0015710747009632373,0,0
17,False,0.9980449201891475,0.001955079810852531,0,0
18,False,0.9926467007726285,0.007353299227371441,0,0
19,False,0.8471439166605952,0.15285608333940484,0,0
20,False,0.992772211148456,0.007227788851543904,0,0
21,False,0.9928376318319738,0.007162368168026128,0,0
22,False,0.9747134562959577,0.025286543704042243,0,0
23,False,0.9366744091133905,0.06332559088660955,0,0
24,True,0.24011490887422926,0.7598850911257707,1,1
25,False,0.7654959790024074,0.23450402099759263,0,0
26,False,0.993894118992107,0.006105881007892967,0,0
27,False,0.9944923114672923,0.005507688532707682,0,0
28,False,0.9838905683440681,0.01610943165593189,0,0
29,False,0.5430895231655981,0.45691047683440195,0,0
30,False,0.9965253812937028,0.0034746187062971723,0,0
31,False,0.940751789301297,0.05924821069870301,0,0
32,False,0.9991029833079663,0.000897016692033718,0,0
33,False,0.9186953598269635,0.08130464017303651,0,0
34,False,0.9994475523619332,0.0005524476380668258,0,0
35,False,0.9892376166815913,0.01076238331840876,0,0
36,False,0.9974850001284346,0.0025149998715654712,0,0
37,False,0.993986295622105,0.006013704377894957,0,0
38,False,0.9951854661710435,0.00481453382895643,0,0
39,False,0.7758774795991745,0.22412252040082542,0,0
40,False,0.9441466335655722,0.05585336643442787,0,0
41,False,0.9997037117642616,0.00029628823573838754,0,0
42,False,0.9989959229150773,0.0010040770849227114,0,0
43,False,0.9995255835234076,0.00047441647659243123,0,0
44,False,0.6802541190552057,0.3197458809447943,0,0
